iter	RMSE
0	0.00845462929
1	0.008197031007
2	0.007952036123
3	0.007788922536
4	0.007659129743
5	0.007504965241
6	0.00730289848
7	0.007111555823
8	0.006966850361
9	0.006812253089
10	0.006624736117
11	0.006503527899
12	0.006398098857
13	0.006291468126
14	0.006175615851
15	0.006063539049
16	0.005978823863
17	0.005864853364
18	0.005734704905
19	0.005594983454
20	0.005493131677
21	0.005370797369
22	0.005282611724
23	0.005208424848
24	0.00512961542
25	0.005066890803
26	0.00499751387
27	0.004874456786
28	0.004812931943
29	0.004701379027
30	0.004595934779
31	0.004510211296
32	0.004378147685
33	0.004321983847
34	0.004271966544
35	0.004203445687
36	0.004148814925
37	0.004068332411
38	0.004024264306
39	0.003955559594
40	0.003867678871
41	0.003829317336
42	0.003783489468
43	0.003723218348
44	0.00367796081
45	0.003620844722
46	0.003571353243
47	0.00354196645
48	0.003494524205
49	0.00345159971
